level 	level_ready 	ready       	start       	end         	color   	opacity 	title                  	initiation 	in                  	out                                                                                                             	children                                                                           	parents    	prof_uid 	op_id 	instances
    1 	          7 	5065629.661 	5065629.661 	5065687.577 	#ffc0cb 	    1.0 	ProfTask <0>           	           	                    	                                                                                                                	                                                                                   	           	     488 	    0 	
    1 	          7 	5065868.850 	5065875.954 	5102302.234 	#ff4d00 	    1.0 	main [primary] <2>     	           	                    	[[0,0,28],[0,0,82],[0,0,83],[0,0,160],[0,0,161]]                                                                	[[0,1,15],[0,1,16],[0,1,17],[0,1,18],[0,1,19],[0,1,20],[0,1,22],[0,1,24],[0,1,26]] 	           	      14 	    2 	[]
    1 	          6 	5098713.742 	5102323.634 	5102375.557 	#c4ff00 	    1.0 	blink [primary] <9>    	         2 	[[0,1,22]]          	[[0,0,84]]                                                                                                      	                                                                                   	[[0,1,14]] 	      15 	    9 	"[[""0x4000000000000001"",27]]"
    1 	          5 	5099097.784 	5102387.159 	5102416.292 	#c4ff00 	    1.0 	blink [primary] <10>   	         2 	[[0,1,22]]          	[[0,0,85]]                                                                                                      	                                                                                   	[[0,1,14]] 	      16 	   10 	"[[""0x4000000000000001"",27]]"
    1 	          4 	5099423.375 	5102428.200 	5102455.151 	#c4ff00 	    1.0 	blink [primary] <11>   	         2 	[[0,1,22]]          	[[0,0,86]]                                                                                                      	                                                                                   	[[0,1,14]] 	      17 	   11 	"[[""0x4000000000000001"",27]]"
    1 	          3 	5099749.121 	5102465.571 	5102492.068 	#c4ff00 	    1.0 	blink [primary] <12>   	         2 	[[0,1,22]]          	[[0,0,87]]                                                                                                      	                                                                                   	[[0,1,14]] 	      18 	   12 	"[[""0x4000000000000001"",27]]"
    1 	          2 	5100094.384 	5102502.848 	5102529.317 	#c4ff00 	    1.0 	blink [primary] <13>   	         2 	[[0,1,24]]          	[[0,0,88]]                                                                                                      	                                                                                   	[[0,1,14]] 	      19 	   13 	"[[""0x4000000000000001"",27]]"
    1 	          1 	5100427.917 	5102539.916 	5102620.788 	#c4ff00 	    1.0 	blink [primary] <14>   	         2 	[[0,1,24]]          	[[0,0,89]]                                                                                                      	                                                                                   	[[0,1,14]] 	      20 	   14 	"[[""0x4000000000000001"",27]]"
    1 	          7 	5102502.206 	5102653.371 	5102693.811 	#c4ff00 	    1.0 	blink [primary] <15>   	         2 	[[0,1,24],[0,0,92]] 	[[0,1,15],[0,1,16],[0,1,17],[0,1,18],[0,0,54],[0,0,55],[0,0,57],[0,0,59],[0,0,60],[0,0,91],[0,0,172],[0,0,175]] 	                                                                                   	[[0,1,14]] 	      22 	   15 	"[[""0x4000000000000001"",27]]"
    1 	          7 	5102703.722 	5102722.082 	5102758.504 	#c4ff00 	    1.0 	blink [primary] <17>   	         2 	[[0,1,26],[0,0,94]] 	[[0,1,19],[0,1,20],[0,1,22],[0,0,61],[0,0,62],[0,0,64],[0,0,66],[0,0,93],[0,0,176],[0,0,179]]                   	                                                                                   	[[0,1,14]] 	      24 	   17 	"[[""0x4000000000000001"",27]]"
    1 	          7 	5102768.735 	5102783.894 	5102848.432 	#ec00ff 	    1.0 	printer [primary] <19> 	         2 	[[0,0,96]]          	[[0,1,24],[0,0,67],[0,0,68],[0,0,70],[0,0,72],[0,0,95],[0,0,180],[0,0,183]]                                     	                                                                                   	[[0,1,14]] 	      26 	   19 	"[[""0x4000000000000001"",27]]"
    1 	          7 	5115388.369 	5115388.369 	5115390.118 	#ffc0cb 	    1.0 	ProfTask <9>           	           	                    	                                                                                                                	                                                                                   	           	     489 	    9 	
    1 	          7 	5116502.118 	5116502.118 	5116504.081 	#ffc0cb 	    1.0 	ProfTask <21>          	           	                    	                                                                                                                	                                                                                   	           	     490 	   21 	
